"Source","Original_Value","Original_Unit","Harmonized_Value","Harmonized_Unit","Harmonized_Age_Group"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
"infant_age",4,"day",0.010958904109589,"year","infant"
